Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0,-87.8100,0.0000,0.5000,66.4275,-1.3065,-0.0495,-0.0004,-0.0030,-0.0113,-0.0053,-23.8966,-0.0240,-0.0240
2,-87.8100,0.0000,0.5000,66.4353,-1.3065,-0.0495,-0.0004,-0.0030,-0.0112,-0.0053,-23.8908,-0.0240,-0.0240
4,-87.8100,0.0000,0.5000,66.4430,-1.3065,-0.0495,-0.0004,-0.0030,-0.0112,-0.0053,-23.8850,-0.0240,-0.0240
6,-87.8100,0.0000,0.5000,66.4508,-1.3065,-0.0495,-0.0004,-0.0030,-0.0112,-0.0053,-23.8792,-0.0239,-0.0239
8,-87.8100,0.0000,0.5000,66.4586,-1.3065,-0.0495,-0.0004,-0.0030,-0.0112,-0.0053,-23.8734,-0.0239,-0.0239
10,-48.3624,78.8950,0.5000,66.4658,-791.8654,-7.5633,-0.1757,4.4034,6.6367,0.0166,393.3443,0.3967,0.3967
12,20.8502,11.2665,0.5000,66.6850,-3803.0962,-82.3206,-6996.3260,713.2916,13.0064,0.8535,0.7404,-6.3508,-6.3508
14,33.0410,3.1314,0.5000,80.9750,-794.0985,-60.8881,-3762.8853,1841.9117,33.1067,3.5110,0.2298,-1.9450,-1.9450
16,33.6166,-0.6915,0.5000,151.1349,-242.0068,-59.3560,-1293.4864,1894.0957,57.3956,6.9683,0.2185,0.6058,0.6058
18,32.7153,-0.1285,0.5000,265.4592,-90.4780,-60.0128,-1842.3219,1575.1905,74.3467,10.3411,0.2381,-0.2422,-0.2422
20,33.2917,0.4699,0.5000,380.0621,-36.4300,-58.7234,-2187.1342,1303.4284,84.5150,13.6946,0.2245,-0.8440,-0.8440
22,34.5176,0.6700,0.5000,481.0902,-15.0503,-56.7147,-2268.6892,1109.1880,89.9753,17.1839,0.1999,-1.1089,-1.1089
24,36.0177,0.7586,0.5000,555.3062,-5.8247,-54.3651,-2316.0107,959.4053,92.6068,21.1418,0.1724,-1.2970,-1.2970
26,37.3799,0.6269,0.5000,606.9725,-2.1466,-52.1381,-2156.8269,840.3950,93.1991,25.5565,0.1500,-1.2497,-1.2497
28,38.4532,0.4852,0.5000,645.8540,-0.8195,-50.4078,-1996.4803,747.4266,92.7054,30.0009,0.1352,-1.1766,-1.1766
30,39.2747,0.3696,0.5000,676.0325,-0.3344,-49.1083,-1865.6464,674.5245,91.7985,34.2580,0.1256,-1.1140,-1.1140
32,39.8976,0.2793,0.5000,699.7459,-0.1299,-47.9904,-1747.3232,608.7461,90.6273,38.8374,0.1183,-1.0570,-1.0570
34,40.3656,0.2089,0.5000,718.4175,-0.0463,-46.9956,-1637.1150,547.2634,89.2544,43.9143,0.1127,-1.0036,-1.0036
36,40.7121,0.1534,0.5000,733.0377,-0.0184,-46.2636,-1552.3190,499.8802,88.0272,48.4730,0.1092,-0.9621,-0.9621
38,40.9619,0.1091,0.5000,744.3377,-0.0073,-45.6444,-1477.4067,458.0804,86.8335,53.0535,0.1067,-0.9250,-0.9250
40,41.1340,0.0731,0.5000,752.8802,-0.0026,-45.0565,-1402.8012,416.6360,85.5579,58.1998,0.1049,-0.8874,-0.8874
42,41.2425,0.0436,0.5000,759.1102,-0.0009,-44.5506,-1335.1538,379.3380,84.3423,63.4262,0.1037,-0.8525,-0.8525
44,41.2985,0.0191,0.5000,763.3882,-0.0003,-44.0991,-1271.3433,344.5140,83.1589,68.8899,0.1032,-0.8188,-0.8188
46,41.3105,-0.0014,0.5000,766.0104,-0.0001,-43.6778,-1208.1514,310.4918,81.9666,74.8518,0.1033,-0.7844,-0.7844
48,41.2853,-0.0189,0.5000,767.2223,-0.0000,-43.4921,-1178.9330,294.9615,81.4123,77.8050,0.1035,-0.7681,-0.7681
50,41.2283,-0.0340,0.5000,767.2298,-0.0000,-43.1617,-1124.5662,266.4467,80.3825,83.6470,0.1044,-0.7371,-0.7371
52,41.1437,-0.0470,0.5000,766.2075,-0.0000,-43.0144,-1099.2022,253.3457,79.9046,86.5330,0.1050,-0.7223,-0.7223
54,41.0351,-0.0585,0.5000,764.3041,-0.0000,-42.7504,-1051.6653,229.1920,79.0169,92.2291,0.1065,-0.6939,-0.6939
56,40.9052,-0.0686,0.5000,761.6463,-0.0000,-42.6317,-1029.3447,218.0499,78.6049,95.0372,0.1074,-0.6802,-0.6802
58,40.7565,-0.0777,0.5000,758.3430,-0.0000,-42.4174,-987.2895,197.4457,77.8388,100.5693,0.1094,-0.6537,-0.6537
