Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0,-88.0543,-0.0000,0.5000,72.9952,-1.5721,-0.0660,-0.0002,0.0000,0.0004,-0.0039,1.1845,0.0011,0.0000
2,-88.0543,-0.0000,0.5000,72.9946,-1.5721,-0.0660,-0.0002,0.0000,0.0004,-0.0039,1.1843,0.0011,0.0000
4,-88.0543,-0.0000,0.5000,72.9940,-1.5721,-0.0660,-0.0002,0.0000,0.0004,-0.0039,1.1842,0.0011,0.0000
6,-88.0543,-0.0000,0.5000,72.9934,-1.5721,-0.0660,-0.0002,0.0000,0.0004,-0.0039,1.1841,0.0011,0.0000
8,-88.0543,-0.0000,0.5000,72.9929,-1.5721,-0.0660,-0.0002,0.0000,0.0004,-0.0039,1.1840,0.0011,0.0000
10,-48.4566,79.1954,0.5000,72.9918,-1002.0922,-10.4826,-0.0823,1.0872,4.7800,0.0123,307.2298,0.3025,0.3025
12,26.7650,7.4876,0.5000,73.0861,-4038.0863,-113.5008,-2725.1672,265.5696,5.2608,0.8900,0.3209,-2.5666,-2.5666
14,34.3004,2.3596,0.5000,76.3365,-825.0125,-93.0182,-2046.8166,484.6797,5.7232,3.0343,0.1572,-1.6462,-1.6462
16,37.0332,0.9722,0.5000,86.8403,-211.7252,-85.6283,-1451.4735,477.0067,7.1481,5.9558,0.1192,-1.0469,-1.0469
18,38.3180,0.5006,0.5000,104.3059,-75.6100,-82.4039,-1154.6260,411.6287,8.5857,8.9356,0.1061,-0.8078,-0.8078
20,39.0638,0.3173,0.5000,125.9243,-29.3411,-80.3340,-995.8248,345.2799,9.9309,12.1135,0.0990,-0.7087,-0.7087
