1.99,-87.9871,-0.0000,0.0050,72.8340,-1.6840,-0.0713,-0.0002,-0.0001,-0.0001,-0.0018,-2.4442
3.99,-87.9871,-0.0000,0.0050,72.8343,-1.6840,-0.0713,-0.0002,-0.0001,-0.0001,-0.0018,-2.4442
5.99,-87.9871,-0.0000,0.0050,72.8345,-1.6840,-0.0713,-0.0002,-0.0001,-0.0001,-0.0018,-2.4437
7.99,-87.9871,-0.0000,0.0050,72.8347,-1.6840,-0.0713,-0.0002,-0.0001,-0.0001,-0.0018,-2.4432
9.99,-87.9871,-0.0000,0.0050,72.8350,-1.6840,-0.0713,-0.0002,-0.0001,-0.0001,-0.0018,-2.4427
11.99,24.3411,8.3776,0.0050,72.8400,-6613.5758,-128.4829,-2046.1506,176.0930,5.2264,0.2314,0.3599
13.99,33.5121,2.2322,0.0050,73.8845,-1127.8740,-102.9936,-2053.0209,529.4929,76.3740,1.1930,0.1486
15.99,36.2343,0.8003,0.0050,78.6340,-288.9606,-94.4210,-1593.7341,553.4323,157.3548,2.4282,0.1141
17.99,37.3155,0.3545,0.0050,87.6574,-96.8817,-90.7435,-1321.0346,481.9625,215.1895,3.8194,0.1028
19.99,37.8187,0.1732,0.0050,99.8657,-36.6758,-88.7030,-1154.6019,401.9468,254.5999,5.3193,0.0979
21.99,38.0692,0.0869,0.0050,113.7068,-14.4334,-87.3605,-1051.0051,334.5727,283.0223,6.8961,0.0955
23.99,38.1906,0.0383,0.0050,127.8702,-5.7301,-86.3698,-982.6839,281.6565,305.1531,8.5269,0.0944
25.99,38.2320,0.0046,0.0050,141.5162,-1.9079,-85.4593,-925.3579,233.8398,326.7357,10.5184,0.0940
27.99,38.2127,-0.0232,0.0050,154.2078,-0.8375,-84.9140,-891.7623,206.0973,340.7198,12.0330,0.0942
29.99,38.1408,-0.0483,0.0050,165.7689,-0.2991,-84.3624,-856.2627,178.3330,356.4327,13.9472,0.0951
31.99,38.0207,-0.0715,0.0050,176.1704,-0.1368,-84.0264,-832.5943,161.0542,367.3818,15.4123,0.0960
33.99,37.8559,-0.0930,0.0050,185.4588,-0.0451,-83.6560,-802.5645,140.6481,381.8028,17.5020,0.0980
35.99,37.6496,-0.1129,0.0050,193.7149,-0.0215,-83.4703,-784.4449,129.1132,390.8106,18.8963,0.0996
37.99,37.4053,-0.1311,0.0050,201.0312,-0.0071,-83.2704,-759.6369,114.1661,403.5773,20.9834,0.1026
39.99,37.1263,-0.1476,0.0050,207.5013,-0.0023,-83.1473,-736.3419,100.9054,416.1084,23.1498,0.1063
41.99,36.8158,-0.1626,0.0050,213.2137,-0.0014,-83.1178,-727.2988,95.9344,421.1405,24.0500,0.1080
43.99,36.4768,-0.1761,0.0050,218.2498,-0.0005,-83.0923,-710.3204,86.8404,430.8869,25.8388,0.1118
45.99,36.1121,-0.1883,0.0050,222.6828,-0.0002,-83.1046,-694.6915,78.7190,440.2579,27.6093,0.1161
47.99,35.7243,-0.1993,0.0050,226.5782,-0.0001,-83.1483,-680.2911,71.4270,449.3008,29.3590,0.1208
49.99,35.3157,-0.2092,0.0050,229.9941,-0.0000,-83.2173,-667.0174,64.8519,458.0556,31.0857,0.1260
51.99,34.8883,-0.2181,0.0050,232.9817,-0.0000,-83.2920,-656.5789,59.7700,465.2822,32.5311,0.1308
53.99,34.4440,-0.2260,0.0050,235.5864,-0.0000,-83.3783,-646.8706,55.1051,472.3295,33.9550,0.1359
55.99,33.9847,-0.2332,0.0050,237.8485,-0.0000,-83.4960,-635.9407,49.9121,480.7239,35.6652,0.1427
57.99,33.5118,-0.2395,0.0050,239.8035,-0.0000,-83.6374,-624.9848,44.7492,489.7592,37.5181,0.1508
59.99,33.0270,-0.2452,0.0050,241.4825,-0.0000,-83.7495,-617.4432,41.2032,496.4455,38.8940,0.1574
61.99,32.5315,-0.2502,0.0050,242.9139,-0.0000,-83.8640,-610.5223,37.9382,503.0162,40.2477,0.1644
63.99,32.0267,-0.2545,0.0050,244.1223,-0.0000,-84.0369,-601.2714,33.5188,512.6729,42.2362,0.1757
65.99,31.5139,-0.2582,0.0050,245.1299,-0.0000,-84.1313,-596.7335,31.3044,517.9066,43.3118,0.1824
67.99,30.9942,-0.2614,0.0050,245.9564,-0.0000,-84.3140,-588.8338,27.3052,528.1854,45.4168,0.1968
69.99,30.4687,-0.2640,0.0050,246.6198,-0.0000,-84.4010,-585.4591,25.5026,533.2347,46.4463,0.2045
71.99,29.9386,-0.2660,0.0050,247.1357,-0.0000,-84.4842,-582.4557,23.8200,538.2266,47.4606,0.2125
73.99,29.4050,-0.2675,0.0050,247.5185,-0.0000,-84.6371,-577.5342,20.7844,548.0437,49.4442,0.2297
75.99,28.8688,-0.2686,0.0050,247.7810,-0.0000,-84.7056,-575.5955,19.4175,552.8706,50.4140,0.2388
77.99,28.3310,-0.2691,0.0050,247.9348,-0.0000,-84.7682,-573.9887,18.1426,557.6439,51.3694,0.2483
79.99,27.7926,-0.2692,0.0050,247.9903,-0.0000,-84.8741,-571.7191,15.8450,567.0313,53.2380,0.2684
81.99,27.2543,-0.2689,0.0050,247.9572,-0.0000,-84.9165,-571.0257,14.8115,571.6457,54.1518,0.2791
83.99,26.7171,-0.2683,0.0050,247.8439,-0.0000,-84.9516,-570.6034,13.8482,576.2073,55.0524,0.2901
85.99,26.1815,-0.2673,0.0050,247.6584,-0.0000,-84.9987,-570.4962,12.1137,585.1720,56.8148,0.3135
87.99,25.6483,-0.2659,0.0050,247.4078,-0.0000,-85.0104,-570.7706,11.3340,589.5753,57.6772,0.3258
