Time(msec),Vm(mVolt),dVm/dt(mVolt/msec),timestep(dt),Cai(x1.000.000)(milliM->nanoM),INa(x1.000)(microA->nanoA),INaL(x1.000)(microA->nanoA),ICaL(x1.000)(microA->nanoA),Ito(x1.000)(microA->nanoA),IKr(x1.000)(microA->nanoA),IKs(x1.000)(microA->nanoA),IK1(x1.000)(microA->nanoA),Inet(microA),Inet_APD(microA)
0.50,-88.0312,-0.0000,0.5000,75.6625,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4972,-0.0016,0.0000
1.50,-88.0312,-0.0000,0.5000,75.6626,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4970,-0.0016,0.0000
2.50,-88.0312,-0.0000,0.5000,75.6628,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4967,-0.0016,0.0000
3.50,-88.0312,-0.0000,0.5000,75.6629,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4965,-0.0016,0.0000
4.50,-88.0312,-0.0000,0.5000,75.6631,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4962,-0.0016,0.0000
5.50,-88.0312,-0.0000,0.5000,75.6632,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4960,-0.0016,0.0000
6.50,-88.0312,-0.0000,0.5000,75.6634,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4957,-0.0016,0.0000
7.50,-88.0312,-0.0000,0.5000,75.6635,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4955,-0.0016,0.0000
8.50,-88.0312,-0.0000,0.5000,75.6637,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4952,-0.0016,0.0000
9.50,-88.0312,-0.0000,0.5000,75.6639,-2.1456,-0.1376,-0.0002,  -0,-0.0004,-0.0033,-1.4949,-0.0016,0.0000
10.50,-48.4095,79.2433,0.5000,75.6635,-1367.7088,-21.8647,-0.0835,   1,2.6245,0.0105,305.8398,0.2880,0.2880
11.50,24.1424,129.5456,0.5000,75.6625,-45054.3077,-246.7358,-934.9750,  83,6.2903,0.1957,0.4118,-1.0920,-1.0920
12.50,34.0917,6.5469,0.5000,75.7643,-4033.0487,-204.6793,-1985.8984, 500,20.2520,1.0663,0.1602,-1.6692,-1.6692
13.50,37.5716,2.7509,0.5000,76.4024,-1597.3537,-184.2856,-1782.1740, 706,47.1701,2.1968,0.1142,-1.2112,-1.2112
14.50,39.1153,1.2501,0.5000,78.0436,-723.5931,-174.0814,-1564.0132, 766,74.7428,3.4752,0.0982,-0.8934,-0.8934
15.50,39.8470,0.6008,0.5000,80.9332,-361.6609,-168.6656,-1387.9962, 749,98.7211,4.8623,0.0914,-0.7039,-0.7039
16.50,40.2039,0.2934,0.5000,85.1156,-198.3049,-165.6197,-1253.2905, 698,117.5506,6.2825,0.0884,-0.5970,-0.5970
17.50,40.3746,0.1383,0.5000,90.4981,-117.2259,-163.7633,-1152.6822, 639,131.7073,7.6807,0.0871,-0.5383,-0.5383
