0.50,-87.8782,-0.0001,0.5000,84.8045,-1.6749,-0.3049,-0.0002,-0.0021,-0.0009,-0.0053,-35.1189
2.50,-87.8783,-0.0001,0.5000,84.7497,-1.6748,-0.3050,-0.0002,-0.0021,-0.0009,-0.0053,-35.1543
4.50,-87.8784,-0.0001,0.5000,84.6954,-1.6748,-0.3050,-0.0002,-0.0021,-0.0009,-0.0053,-35.1719
6.50,-87.8785,-0.0001,0.5000,84.6416,-1.6748,-0.3051,-0.0002,-0.0021,-0.0009,-0.0053,-35.2067
8.50,-87.8786,-0.0001,0.5000,84.5881,-1.6747,-0.3052,-0.0002,-0.0022,-0.0009,-0.0053,-35.2413
10.50,-48.2827,79.1920,0.5000,84.5345,-1049.6506,-47.8473,-0.0847,1.6285,0.2941,0.0165,300.7844
12.50,26.8329,7.3798,0.5000,84.6055,-3832.7362,-476.0371,-2723.8716,395.3945,16.0371,1.1942,0.3180
14.50,34.1635,2.2261,0.5000,88.8687,-819.6269,-385.6697,-2031.4324,704.1153,95.3900,4.0022,0.1588
16.50,36.4969,0.7398,0.5000,103.9986,-238.5349,-357.9033,-1427.5218,682.9349,171.6455,7.4911,0.1267
18.50,37.2772,0.2474,0.5000,130.7230,-80.7804,-346.7243,-1102.6378,567.7107,226.6573,11.4925,0.1173
20.50,37.5658,0.1079,0.5000,164.1988,-31.6050,-341.2503,-989.1956,461.6768,262.2191,15.3900,0.1142
22.50,37.7461,0.0858,0.5000,198.7616,-12.6568,-337.0009,-951.5996,376.7602,288.7066,19.3352,0.1123
24.50,37.9158,0.0843,0.5000,231.1992,-5.0917,-333.0476,-931.7430,312.0728,309.7528,23.3100,0.1105
26.50,38.0761,0.0764,0.5000,260.3147,-1.9974,-329.2123,-911.4973,261.8794,327.7174,27.4159,0.1088
28.50,38.2093,0.0598,0.5000,285.8892,-0.6676,-325.1513,-884.4719,218.0250,345.5588,32.2342,0.1072
30.50,38.3014,0.0372,0.5000,308.1004,-0.3006,-322.5554,-863.4188,193.2471,356.9999,35.7404,0.1064
32.50,38.3444,0.0119,0.5000,327.2638,-0.1037,-319.6010,-835.0172,166.7765,370.7735,40.4018,0.1060
34.50,38.3359,-0.0140,0.5000,343.7240,-0.0467,-317.7616,-814.1709,150.5743,380.2338,43.8763,0.1061
36.50,38.2764,-0.0390,0.5000,357.8114,-0.0161,-315.7791,-787.5664,132.5385,391.9402,48.4646,0.1069
38.50,38.1687,-0.0625,0.5000,369.8264,-0.0073,-314.6140,-768.6951,121.0675,400.1652,51.8632,0.1080
40.50,38.0163,-0.0842,0.5000,380.0344,-0.0025,-313.4393,-745.0691,107.8696,410.5308,56.3259,0.1099
42.50,37.8230,-0.1038,0.5000,388.6674,-0.0011,-312.8081,-728.4924,99.2295,417.9264,59.6145,0.1118
44.50,37.5929,-0.1216,0.5000,395.9267,-0.0004,-312.2949,-709.8557,90.0165,426.4332,63.4846,0.1144
46.50,37.3296,-0.1375,0.5000,401.9865,-0.0002,-312.0316,-694.3762,82.7108,433.7026,66.8498,0.1172
48.50,37.0366,-0.1517,0.5000,406.9973,-0.0001,-311.9200,-672.8962,73.0253,444.1825,71.7652,0.1220
50.50,36.7169,-0.1645,0.5000,411.0893,-0.0000,-312.0030,-659.6455,67.2875,450.9251,74.9505,0.1256
52.50,36.3735,-0.1759,0.5000,414.3755,-0.0000,-312.1898,-647.1832,62.0437,457.4983,78.0607,0.1296
54.50,36.0087,-0.1861,0.5000,416.9537,-0.0000,-312.4639,-635.4576,57.2392,463.9201,81.0945,0.1340
